Time_hr,Target_Q,Choke_pct,Q_bbl_hr,WHP_psi,FLP_psi,BHP_psi
0,100,5.0,14.03399794619255,2969.9624731240774,200.98476549176868,2971.932004107615
1,100,10.0,30.53375326970658,2929.609392573234,204.6615504436766,2938.932493460587
2,100,15.0,47.181903850318406,2883.3748717899566,211.13066025470346,2905.6361922993633
3,100,20.0,63.173027605529626,2833.745630620451,219.95415708424505,2873.653944788941
4,100,25.0,78.26592992726636,2782.21258227167,230.62777893689884,2843.4681401454673
5,100,30.0,92.44657148247808,2729.6431712463946,242.73184289432464,2815.106857035044
6,100,35.0,105.7875603971305,2676.5147998579732,255.95503967388268,2788.4248792057388
7,100,30.0,109.13928416773209,2662.607598178086,259.55691674322486,2781.721431664536
8,100,25.0,106.14587384445917,2675.038786969043,256.3347326710192,2787.7082523110817
9,100,20.0,98.93648322535175,2704.242756419293,248.94213856500153,2802.1270335492964
10,100,21.0,95.67721688268564,2717.104267930464,245.77064915208234,2808.645566234629
11,100,26.0,99.0122627010729,2703.9411929459916,249.01714082593136,2801.9754745978544
12,100,27.0,102.05281853652379,2691.746585214466,252.07388885624326,2795.8943629269525
13,100,24.0,100.80162196926341,2696.7870861451306,250.80483495817145,2798.3967560614733
14,100,23.0,98.98126711520035,2704.0645533722927,248.98645619865323,2802.0374657695993
15,100,24.0,98.93863185934683,2704.234207539313,248.9442643709968,2802.1227362813065
16,100,25.0,99.95886547035508,2700.1645211980845,249.95887393060272,2800.08226905929
17,100,25.0,100.57766843550091,2697.6859892497823,250.5793369396078,2798.844663128998
18,100,24.0,99.90689820531483,2700.372320499299,249.9069415450357,2800.1862035893705
19,100,24.0,99.50005549508448,2701.997278574582,249.50130521762446,2800.999889009831
20,100,25.0,100.2993861185173,2698.801559205451,250.29983427875712,2799.4012277629654
21,100,25.0,100.78420464887651,2696.8570316351806,250.7872795335331,2798.431590702247
22,100,24.0,100.0321687510681,2699.871314647442,250.03217392521083,2799.9356624978636
23,100,24.0,99.57603592184277,2701.6940588572334,249.57693464954062,2800.8479281563145
24,100,25.0,100.34547057688425,2698.616924193268,250.34606732648172,2799.3090588462314
25,150,30.0,105.83848983884272,2676.305161008647,256.0089296568341,2788.3230203223147
26,150,35.0,113.91016947263408,2642.4243939618896,264.87763354642107,2772.1796610547317
27,150,40.0,123.31380406335086,2601.3094491475536,276.0314713628724,2753.3723918732985
28,150,45.0,133.3317592120841,2555.56290142994,288.88679007294587,2733.336481575832
29,150,50.0,143.55736602399665,2506.7980945545296,303.04358669873875,2712.885267952007
30,150,55.0,153.7659268442136,2456.0285437289726,318.2198012913002,2692.468146311573
31,150,50.0,155.9513151985907,2444.889242481117,321.60406356085093,2688.0973696028186
32,150,45.0,153.12741037231956,2459.2651411820334,317.2400190366638,2693.745179255361
33,150,41.0,147.97758747711254,2485.07116109031,309.4868319777325,2704.044825045775
34,150,44.0,147.44222731795006,2487.723441399319,308.69605198239026,2705.1155453641
35,150,47.0,149.64459335099937,2476.7757701061414,311.96752159592984,2700.710813298001
36,150,47.0,150.98039587395346,2470.088408869536,313.97539969127854,2698.039208252093
37,150,46.0,150.95469074634008,2470.2174319240885,313.93659329161585,2698.09061850732
38,150,45.0,150.0968044469597,2474.515884054192,312.6452535259443,2699.806391106081
39,150,45.0,149.57647010383812,2477.11585570508,311.8656020436219,2700.8470597923238
40,150,46.0,150.10316672280447,2474.484059952251,312.65480330107016,2699.793666554391
41,150,46.0,150.42262437057454,2472.8850920335412,313.1348296126548,2699.154751258851
42,150,45.0,149.77408987705573,2476.1290402608847,312.1613899925019,2700.4518202458885
43,150,45.0,149.38073382285538,2478.0924959797417,311.5730181872739,2701.2385323542894
44,150,46.0,149.98444666717032,2475.077764245087,312.4766712102863,2700.0311066656595
45,150,46.0,150.35061701690964,2473.2456855925266,313.0265401868272,2699.298765966181
46,150,46.0,150.57271056070422,2472.133167222615,313.36070582798806,2698.8545788785914
47,150,45.0,149.86512175296883,2475.6742093137404,312.2977735901609,2700.269756494062
48,150,45.0,149.43594744660783,2477.817081214131,311.65551194632667,2701.1281051067845
49,150,46.0,150.01793542281,2474.910319669156,312.526904742612,2699.96412915438
50,150,46.0,150.37092897396073,2473.143979247159,313.05708140245974,2699.2581420520787
51,150,46.0,150.58503038541448,2472.071425467409,313.37925688088103,2698.829939229171
52,150,45.0,149.8725941043779,2475.6368671554883,312.30897231787804,2700.2548117912443
53,150,45.0,149.44047965683757,2477.7944710856677,311.6622848003284,2701.1190406863248
54,150,46.0,150.02068434727062,2474.8965739852247,312.53102866011704,2699.9586313054588
55,150,46.0,150.37259628092733,2473.1356303154776,313.0595885613338,2699.2548074381452
56,150,46.0,150.58604165820887,2472.066357260704,313.3807797114391,2698.8279166835823
57,150,45.0,149.87320747233304,2475.6338018748843,312.3098915902249,2700.253585055334
58,150,45.0,149.44085168330804,2477.7926151150596,311.66284075916235,2701.118296633384
59,150,46.0,150.02090999273116,2474.8954456640663,312.5313671752357,2699.958180014538
