Time_hr,Target_Q,Choke_pct,Q_bbl_hr,WHP_psi,FLP_psi,BHP_psi
0,300,5.0,14.03399794619255,2969.9624731240774,200.98476549176868,2971.932004107615
1,300,10.0,30.53375326970658,2929.609392573234,204.6615504436766,2938.932493460587
2,300,15.0,47.181903850318406,2883.3748717899566,211.13066025470346,2905.6361922993633
3,300,20.0,63.173027605529626,2833.745630620451,219.95415708424505,2873.653944788941
4,300,25.0,78.26592992726636,2782.21258227167,230.62777893689884,2843.4681401454673
5,300,30.0,92.44657148247808,2729.6431712463946,242.73184289432464,2815.106857035044
6,300,35.0,105.7875603971305,2676.5147998579732,255.95503967388268,2788.4248792057388
7,300,40.0,118.38719262219783,2623.0703409859507,270.07763688482686,2763.2256147556045
8,300,45.0,130.34361832453376,2569.4181749716154,284.9472941896587,2739.3127633509325
9,300,50.0,141.74496696015643,2515.593709494329,300.4581782926792,2716.510066079687
10,300,55.0,152.66665124436003,2461.595633489609,316.53553201083525,2694.66669751128
11,300,60.0,163.17173359667055,2407.406386357231,333.12507322471413,2673.656532806659
12,300,65.0,173.3124304374766,2353.003153683595,350.18599272072584,2653.3751391250466
13,300,70.0,183.13188113126606,2298.3633788707066,367.6864294333808,2633.736237737468
14,300,75.0,192.6658134307904,2243.467216488938,385.6005783247407,2614.668373138419
15,300,80.0,201.94397564991624,2188.298355687228,403.90684650646983,2596.1120487001676
16,300,85.0,210.99131347772476,2132.844029413995,422.58667181527755,2578.0173730445504
17,300,90.0,219.82891363517234,2077.0946600294546,441.6237563501003,2560.3421727296554
18,300,95.0,228.474750953647,2021.0433798593958,461.00355911665514,2543.050498092706
19,300,100.0,236.94427649543678,1964.6855453696667,480.71295081973,2526.1114470091266
20,300,100.0,242.08130340975154,1929.8038185748549,493.01678730282094,2515.8373931804967
21,300,100.0,245.19706773305242,1908.3898442850243,500.6080101244355,2509.6058645338953
22,300,99.0,246.44636265221052,1899.7491780505302,503.67904832252435,2507.107274695579
23,300,97.0,245.9162382100825,1903.4195614258542,502.3739810769902,2508.167523579835
24,300,96.0,244.94728966727837,1910.1136735119876,499.9958735767279,2510.1054206654435
25,300,96.0,244.35959266838375,1914.164709372648,498.55805264529215,2511.2808146632324
26,300,96.0,244.00313641993307,1916.618421332489,497.6876529138224,2511.993727160134
27,300,96.0,243.7869347764016,1918.1054347704617,497.16034783836744,2512.4261304471966
28,300,96.0,243.65580185091954,1919.0068985420153,496.8407488780729,2512.688396298161
29,300,97.0,244.2236775263073,1915.100598302648,498.2260233223687,2511.5526449473855
30,300,97.0,244.568111534335,1912.7281651366206,499.0678058973546,2510.86377693133
31,300,97.0,244.77702132045147,1911.2880556939695,499.57895083256375,2510.445957359097
32,300,97.0,244.90373151084515,1910.4141598989486,499.8891885396806,2510.19253697831
33,300,97.0,244.9805851262169,1909.88395885973,500.07743544391803,2510.038829747566
34,300,96.0,244.37978738505922,1914.0256204062139,498.6074024118338,2511.2404252298816
35,300,96.0,244.01538513476095,1916.534147905821,497.7175409123286,2511.969229730478
36,300,96.0,243.7943639974868,1918.0543528356352,497.1784595846955,2512.411272005026
37,300,96.0,243.66030790128548,1918.9759277319367,496.8517282327462,2512.679384197429
38,300,97.0,244.22641058400842,1915.0817825644967,498.23269813374327,2511.5471788319833
39,300,97.0,244.5697692176255,1912.7167414131231,499.071860075813,2510.860461564749
